route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
6001652,60,652,,,3,,000000,FFFFFF
6001669,60,669,,,3,,000000,FFFFFF
6001672,60,672,,,3,,000000,FFFFFF
6001673,60,673,,,3,,000000,FFFFFF
6300023,63,SB23,,,3,,000000,FFFFFF
6301933,63,SB33,,,3,,000000,FFFFFF
7000626,70,626,,,3,,000000,FFFFFF
7001880,70,880,,,3,,000000,FFFFFF
7001885,70,885,,,3,,000000,FFFFFF
7001889,70,885E,,,3,,000000,FFFFFF
13001026,130,RB26,,,2,,000000,FFFFFF
13001298,130,SEV,,,3,,000000,FFFFFF
13901001,139,,RE1 (RRX),,2,,000000,FFFFFF
13901005,139,,RE5 (RRX),,2,,FF6418,FFFFFF
13901006,139,,RE6 (RRX),,2,,673BB8,FFFFFF
13901007,139,RE7,,,2,,8FD400,FFFFFF
13901026,139,RB26,,,3,,000000,FFFFFF
13901048,139,RB48,,,2,,FFC82E,FFFFFF
13913059,139,RE48,,,3,,000000,FFFFFF
14101028,141,RB28,,,2,,000000,FFFFFF
15101090,151,RB90,,,2,,000000,FFFFFF
15101093,151,RB93,,,2,,000000,FFFFFF
15101298,151,SEV,,,3,,000000,FFFFFF
15201001,152,,RE1 (RRX),,2,,000000,FFFFFF
15201281,152,RE,,,2,,000000,FFFFFF
19901009,199,RE9,,,3,,000000,FFFFFF
19901025,199,RB25,,,3,,000000,FFFFFF
